x,y,z
0,0,0
6.5,0,0
13,0,0
19.5,0,0
0,6.5,0
6.5,6.5,0
13,6.5,0
19.5,6.5,0
0,13,0
6.5,13,0
13,13,0
19.5,13,0
0,19.5,0
6.5,19.5,0
13,19.5,0
19.5,19.5,0
0,0,6.5
6.5,0,6.5
13,0,6.5
19.5,0,6.5
0,6.5,6.5
6.5,6.5,6.5
13,6.5,6.5
19.5,6.5,6.5
0,13,6.5
6.5,13,6.5
13,13,6.5
19.5,13,6.5
0,19.5,6.5
6.5,19.5,6.5
13,19.5,6.5
19.5,19.5,6.5
0,0,13
6.5,0,13
13,0,13
19.5,0,13
0,6.5,13
6.5,6.5,13
13,6.5,13
19.5,6.5,13
0,13,13
6.5,13,13
13,13,13
19.5,13,13
0,19.5,13
6.5,19.5,13
13,19.5,13
19.5,19.5,13
0,0,19.5
6.5,0,19.5
13,0,19.5
19.5,0,19.5
0,6.5,19.5
6.5,6.5,19.5
13,6.5,19.5
19.5,6.5,19.5
0,13,19.5
6.5,13,19.5
13,13,19.5
19.5,13,19.5
0,19.5,19.5
6.5,19.5,19.5
13,19.5,19.5
19.5,19.5,19.5
